,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
441,S-Adenosylmethionine-13C-3,C15H22N6O5S-13C-3,+,402.1546,-2.4,12.36,0.01,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
442,S-Adenosylmethionine-13C-4,C15H22N6O5S-13C-4,+,403.1579,-5.5,12.34,0.13,1,-,-,-,-,-,-,-,10814,-,-,0.24150397191306,-0.029064109698438718,0.0,0.24150397191306,0.02906410969843878,0.0
443,S-Adenosylmethionine-13C-5,C15H22N6O5S-13C-5,+,404.1613,-4.2,12.36,0.13,10,80142,23082,64469,30989,55957,31058,65418,119469,94740,189802,0.0195816173438985,-1.3013835838277004,10.0,0.0195816173438985,1.3013835838277,10.0
444,S-Adenosylmethionine-13C-6,C15H22N6O5S-13C-6,+,405.1646,-5.0,12.36,0.13,10,65176,15880,75102,41058,63420,41824,103386,135900,68347,162235,0.008853543940582232,-1.22047365798473,22.0,0.008853543940582232,1.22047365798473,22.0
445,S-Adenosylmethionine-13C-7,C15H22N6O5S-13C-7,+,406.168,-8.4,12.34,0.13,9,58347,-,35733,30163,38813,22873,65433,92095,54481,81509,0.004945793020541921,-1.1680805293417698,24.0,0.004945793020541921,1.1680805293417698,24.0
446,S-Adenosylmethionine-13C-8,C15H22N6O5S-13C-8,+,407.1714,-7.7,12.34,0.13,7,22421,-,-,17726,-,16274,36706,75784,27340,41484,0.00805269333598636,-1.6114378064306776,11.0,0.00805269333598636,1.6114378064306774,11.0
447,S-Adenosylmethionine-13C-9,C15H22N6O5S-13C-9,+,408.1747,-8.8,12.34,0.13,4,11366,-,-,-,-,-,25614,38273,-,25823,0.01254658371700038,-1.209054367315742,3.0,0.01254658371700038,1.209054367315742,3.0
448,S-Adenosylmethionine-13C-10,C15H22N6O5S-13C-10,+,409.1781,-0.4,12.4,0.07,1,-,-,-,-,-,-,10104,-,-,-,0.24150397191306,-0.003746139232894785,0.0,0.24150397191306,0.0037461392328946375,0.0
449,S-Adenosylmethionine-13C-11,C15H22N6O5S-13C-11,+,410.1814,-8.8,12.34,0.1,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
450,S-Adenosylmethionine-13C-12,C15H22N6O5S-13C-12,+,411.1848,-1.9,12.34,0.02,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
451,S-Adenosylmethionine-13C-13,C15H22N6O5S-13C-13,+,412.1881,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
452,S-Adenosylmethionine-13C-14,C15H22N6O5S-13C-14,+,413.1915,-6.5,12.52,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
