,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
84,N-Acetylserine-13C-0,C5H9NO4-13C-0,-,13C,ESI,7.5,8.5,10.0,0.2,146.0459,146.0464,3.6,SQ319_B_2,No,8.0,7.94,8.34,0.41,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,141268.0,53515,51754,92077,14879,31700,18611,NA,NA,141268.0,141268.0,0.0,1.0,141268.0,141268.0,0.0,0
85,N-Acetylserine-13C-1,C5H9NO4-13C-1,-,13C,ESI,7.5,8.5,10.0,0.2,147.0492,147.0485,-5.0,S04434,No,8.22,8.22,8.22,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
86,N-Acetylserine-13C-2,C5H9NO4-13C-2,-,13C,ESI,7.5,8.5,10.0,0.2,148.0526,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
87,N-Acetylserine-13C-3,C5H9NO4-13C-3,-,13C,ESI,7.5,8.5,10.0,0.2,149.0559,149.0549,-7.0,S04432,No,8.14,8.11,8.14,0.03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,63219.0,14665.0,10000.0,10000.0,0,0,0,0,0,0,0.1956179669039628,5.112004872696293,10000.0,24471.0,-1.291073057917623,0.4086469698827183,10000.0,17235.5,0.0,2
88,N-Acetylserine-13C-4,C5H9NO4-13C-4,-,13C,ESI,7.5,8.5,10.0,0.2,150.0593,150.0584,-6.0,S04433,No,8.11,8.11,8.14,0.03,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,36045.0,39333.0,10000.0,10000.0,0,0,0,0,0,0,0.06055890910520292,16.512846991064524,10000.0,23844.5,-1.2536565308940053,0.4193839250141542,10000.0,16922.25,1.0,2
89,N-Acetylserine-13C-5,C5H9NO4-13C-5,-,13C,ESI,7.5,8.5,10.0,0.2,151.0627,151.0615,-7.6,S04432,Yes,8.14,7.94,8.34,0.41,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,438543.5,143104,167190,147516,143858,135286,120133,NA,NA,438543.5,438543.5,0.0,1.0,438543.5,438543.5,0.0,0
90,L-Glutamic acid-13C-0,C5H9NO4-13C-0,+,13C,ESI,10.0,13.0,10.0,0.2,148.0604,148.0599,-3.6,S04435,Yes,11.75,11.65,11.76,0.11,132718840.0,124449208.0,131454440.0,127564440.0,126467280.0,123212184.0,144145632.0,127481928.0,143932672.0,159789504.0,1848631,53236,1689228,79145,1713296,58278,0.019520089646626396,51.22927292359169,127644398.66666667,143837434.0,-0.17230895879757516,0.8874212721749936,2730907.0,135740916.33333334,7836.0,10
91,L-Glutamic acid-13C-1,C5H9NO4-13C-1,+,13C,ESI,10.0,13.0,10.0,0.2,149.0638,149.0632,-4.0,S04435,No,11.75,11.65,11.76,0.11,9299144.0,8998039.0,9690995.0,12407559.0,12048140.0,11936981.0,10528155.0,9644841.0,12166836.0,13433161.0,55484,0,53785,1635,66914,0,0.5115339305528872,1.9549045337406226,10730143.0,11443248.25,-0.09282732688887776,0.9376833190698279,98909.0,11086695.625,23.0,10
92,L-Glutamic acid-13C-2,C5H9NO4-13C-2,+,13C,ESI,10.0,13.0,10.0,0.2,150.0671,150.0664,-5.0,S04429,No,11.74,11.65,11.76,0.11,43017300.0,40226048.0,44116436.0,49472516.0,47755336.0,47156052.0,47832780.0,44192576.0,42537284.0,46375604.0,419608,2741,373706,7286,428617,7846,0.9781637038879996,1.022323764442706,45290614.666666664,45234561.0,0.0017866489993192045,1.0012391778637282,629902.0,45262587.83333333,46.0,10
93,L-Glutamic acid-13C-3,C5H9NO4-13C-3,+,13C,ESI,10.0,13.0,10.0,0.2,151.0705,151.0698,-4.6,S04429,No,11.74,11.65,11.76,0.11,10656917.0,10402681.0,11597741.0,15956045.0,15502040.0,15629403.0,11766854.0,10995804.0,11395585.0,12667326.0,51811,0,38232,0,67220,0,0.28755636843933036,3.4775790410323792,13290804.5,11706392.25,0.18313190895751794,1.1353459047128718,88631.5,12498598.375,49.0,10
