Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Adenosine triphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-0,63512,67810,60018,51800,53301,65422,59725,69709,70928,114809
Glutathione-13C-1,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-2,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-3,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-4,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-5,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-6,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-7,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-8,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-9,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-10,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-0,0,0,0,0,0,0,17041,17132,17893,12446
Argininosuccinic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-3,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-4,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Argininosuccinic acid-13C-8,0,0,0,0,0,0,0,0,0,0
