,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
57,Guanine,C5H5N5O,[M+H]+,7.7,9.7,15,0.2,152.0567,152.0565,-1.2,S07369,8.83,8.76,9.04,0.28,43937.0,60648.0,57032.0,120633.0,75179.0,39513.0,12236,8173,3153,5874,7845,3705,0.364134556653897,2.746237569949949,53872.333333333336,78441.66666666667,-0.5420756361670229,0.6867821098480824,30493.0,66157.0,0.0,6
58,Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15,0.2,284.0989,284.0986,-1.2,S07377,9.13,8.88,9.26,0.37,35486.0,52039.0,77578.0,36227.0,18163.5,18163.5,11705,2703,0,0,0,1919,0.08657091881592929,11.551223132172616,55034.333333333336,24184.666666666668,1.186239275620959,2.2755878380240926,18163.5,39609.5,1.0,4
59,Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15,0.2,442.0171,442.0167,-0.8,S07377,15.44,15.28,15.52,0.24,27276.5,27276.5,30146.0,27276.5,27276.5,27276.5,1661,1230,8327,2244,15356,5735,0.373900966300059,2.67450498963806,28233.0,27276.5,0.049723899753768425,1.0350668157571536,27276.5,27754.75,0.0,1
60,Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15,0.2,364.0653,364.06300000000005,-6.3,SQ437_B_0,13.81,13.78,13.93,0.14,70849.0,70849.0,70849.0,70849.0,70849.0,70849.0,71888,24110,8437,7448,7137,2678,NA,NA,70849.0,70849.0,0.0,1.0,70849.0,70849.0,0.0,0
61,Guanosine triphosphate,C10H16N5O14P3,[M-H]-,15.0,17.0,15,0.2,521.9834,521.9832,-0.4,S07377,16.99,16.91,16.99,0.08,10000.0,10000.0,10130.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.3739009663000528,2.6745049896381046,10043.333333333334,10000.0,0.0062381722112198786,1.0043333333333333,10000.0,10021.666666666668,0.0,1
62,Homocysteine,C4H9NO2S,[M-H]-,7.3,9.3,15,0.2,134.0281,134.0299,13.2,S07377,7.31,7.26,7.5,0.24,13124.5,13124.5,27179.0,13124.5,13124.5,13124.5,1432,0,1800,1538,0,1479,0.373900966300059,2.67450498963806,17809.333333333332,13124.5,0.4403710503247164,1.3569532807599018,13124.5,15466.916666666666,0.0,1
63,Hypotaurine,C2H7NO2S,[M+H]+,10.0,12.0,15,0.2,110.027,110.027,-0.2,S07376,11.44,11.28,11.45,0.18,4562842.0,5235412.0,5045578.0,1540328.0,2063176.0,2134152.0,29289,0,43388,0,44811,0,0.00037821934658802895,2643.9683982883043,4947944.0,1912552.0,1.371330198736139,2.5870899196466293,68744.0,3430248.0,23464.0,6
64,Hypoxanthine,C5H4N4O,[M+H]+,5.8,7.8,15,0.2,137.0458,137.0455,-2.1,S07377,7.77,7.54,7.77,0.23,60693.0,92613.0,178694.0,44214.0,50328.0,52494.0,3061,2247,2518,2414,2860,1864,0.15587584437934923,6.415362200485261,110666.66666666667,49012.0,1.1750138166950854,2.2579504339073426,17482.0,79839.33333333334,1.0,6
65,Inosine,C10H12N4O5,[M+H]+,6.4,8.4,15,0.2,269.08799999999997,269.0862,-6.9,S07370,7.84,7.64,7.97,0.33,55767.0,67328.0,88039.0,28221.0,20413.0,31689.0,0,0,0,0,0,0,0.012107036447390092,82.59659614847939,70378.0,26774.333333333332,1.3942738631203506,2.628562180197453,10000.0,48576.166666666664,11.0,6
66,Inosinic acid,C10H13N4O8P,[M+H]+,11.4,13.4,15,0.2,349.0544,349.0515,-8.3,S07370,12.62,12.59,12.8,0.21,10999.0,10999.0,10999.0,10999.0,10999.0,10999.0,0,0,1998,0,0,0,NA,NA,10999.0,10999.0,0.0,1.0,10999.0,10999.0,0.0,0
67,L-Acetylcarnitine,C9H17NO4,[M+H]+,6.3,8.3,15,0.2,204.123,204.1224,-3.1,S07377,7.79,7.56,7.92,0.36,4813509.0,5125000.0,5831314.0,1904316.0,1605797.0,2116200.0,16322,15263,10794,10643,11906,10072,0.0005454848045511553,1833.2316347892333,5256607.666666667,1875437.6666666667,1.4869047482277238,2.8028698367829876,47500.0,3566022.666666667,18323.0,6
