Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
Inosine	66         Inosine	C10H12N4O5	[M+H]+	6.4	8.4	15.0	0.2	269.08799999999997	269.0867	-5.0	S09195	7.72	7.5	7.91	0.41	17	111068	122103	126569	140589	113609	681882	171881	143973	133165	3349	2727	3984	2261	3710	2183	2620	3519	0
Inosinic acid	67         Inosinic acid	C10H13N4O8P	[M+H]+	11.4	13.4	15.0	0.2	349.0544	349.0518	-7.4	S09191	12.18	12.18	12.18	0.0	1	0	7342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Acetylcarnitine	68         L-Acetylcarnitine	C9H17NO4	[M+H]+	6.3	8.3	15.0	0.2	204.123	204.1229	-0.7	S09195	7.64	7.5	7.67	0.17	18	5997934	7497806	8608883	10796484	8467374	11496819	3052405	1551751	1769404	35098	14383	37246	11356	27142	10273	17216	12227	11993
L-Alanine	69         L-Alanine	C3H7NO2	[M+H]+	10.6	11.2	15.0	0.2	90.055	90.0555	6.0	S09195	11.1	11.0	11.1	0.1	18	4878953	5256474	5416003	7151127	5443086	19061234	4390061	3456097	4041222	531713	206617	653456	224635	554853	212645	227019	203289	181666
L-Arginine	70         L-Arginine	C6H14N4O2	[M+H]+	18.5	21.0	15.0	0.2	175.11900000000003	175.1189	-0.3	S09191	19.49	19.44	19.59	0.15	18	98913576	110596264	93825152	109913440	102253640	103511040	108727384	74668792	109121800	40430456	24254740	63525004	33856136	64493996	31711768	31229738	43622368	43627684
L-Asparagine	71         L-Asparagine	C4H8N2O3	[M+H]+	10.3	12.3	15.0	0.2	133.0608	133.0609	1.0	S09196	11.62	11.48	11.68	0.2	18	295477	338066	385123	462745	439397	1030582	1107928	926297	1074808	40599	8655	53437	8791	41627	7238	13126	15741	11355
L-Aspartic acid	72         L-Aspartic acid	C4H7NO4	[M-H]-	10.8	12.8	15.0	0.2	132.0302	132.0291	-8.6	S09196	12.05	11.92	12.09	0.17	18	13356314	15692725	16806956	17417370	14968908	15250917	37506916	31578560	36945512	825639	23600	1819014	51600	1275216	35839	78701	122804	89810
L-Carnitine	73         L-Carnitine	C7H16NO3	[Cat]+	8.3	10.3	15.0	0.2	162.1125	162.1124	-0.4	S09196	9.72	9.63	9.74	0.12	18	19673710	29874924	34420632	34776344	27522494	41303960	46803580	31692304	38327672	518082	58451	676146	67597	575076	53480	91689	96775	47643
L-Cystathionine	74         L-Cystathionine	C7H14N2O4S	[M+H]+	12.2	14.2	15.0	0.2	223.0747	223.0747	-0.0	S09196	13.46	13.4	13.54	0.14	17	69825	84939	89369	146562	79357	138044	195100	98605	148818	7090	0	14748	1903	12443	1661	2078	2635	2495
L-Cysteine	75         L-Cysteine	C3H7NO2S	[M+H]+	13.0	17.0	15.0	0.2	122.027	122.0272	1.4	S09191	14.1	13.92	14.22	0.29	10	6892	10514	7519	8610	5508	9469	0	3057	7432	0	0	1510	1345	0	0	0	0	0
L-Cystine	76         L-Cystine	C6H12N2O4S2	[M-H]-	11.7	13.7	15.0	0.2	239.0166	239.0163	-1.2	S09192	12.93	12.83	12.95	0.12	18	340929	561551	825225	233902	143976	203740	162077	108146	152598	26282	16008	33613	15136	30827	15690	16415	22124	20319
L-Glutamic acid	77         L-Glutamic acid	C5H9NO4	[M+H]+	10.0	13.0	15.0	0.2	148.0604	148.0603	-0.9	S09195	11.79	11.61	11.79	0.18	18	155652624	185090544	204696352	203994544	184163088	234216128	215350720	183725184	199651200	16804890	1041776	23859220	1735390	21417280	1261270	1848308	3379522	2278961
L-Glutamine	78         L-Glutamine	C5H10N2O3	[M+H]+	10.1	12.1	15.0	0.2	147.0764	147.0763	-0.8	S09196	11.43	11.33	11.45	0.13	18	987509632	1187409280	1204924288	1228807552	1118130176	1358784256	1383364096	1188801024	1207392640	180595824	2377264	232189168	9118752	213414128	5611846	13624382	23904456	18618868
L-Histidine	79         L-Histidine	C6H9N3O2	[M+H]+	9.9	11.9	15.0	0.2	156.0768	156.0767	-0.3	S09195	10.96	10.84	10.96	0.12	18	222477984	274140192	297152320	284790496	268402576	312768576	292343616	260518032	287365408	26765688	1450290	39590948	2321930	33817868	2190558	4619902	6916609	6346227
L-Isoleucine	80         L-Isoleucine	C6H13NO2	[M+H]+	6.0	7.5	15.0	0.2	132.1019	132.1019	-0.0	S09195	7.44	7.37	7.45	0.08	18	327943712	471109536	539576512	542105728	464015136	614817664	575157952	489476480	486693632	9044223	315952	12580300	738622	11523778	513960	538301	1043860	600236
L-Kynurenine	81         L-Kynurenine	C10H12N2O3	[M+H]+	6.0	8.0	15.0	0.2	209.0921	209.0921	0.1	S09192	7.46	7.21	7.66	0.45	17	71277	118677	196774	140849	135501	195898	179986	117714	163307	2565	1993	3658	2903	2753	2547	0	1864	3039
L-Lactic acid	82         L-Lactic acid	C3H6O3	[M-H]-	6.2	8.2	15.0	0.2	89.0244	89.0232	-13.7	S09195	7.28	7.14	7.3	0.16	18	20807254	26330298	31058576	33302772	27757884	39588552	28390524	19413534	21473202	1081977	935732	1048583	964787	1036720	939431	797480	751219	737938
L-Leucine	83         L-Leucine	C6H13NO2	[M+H]+	7.5	9.0	15.0	0.2	132.1019	132.1019	-0.0	S09195	7.85	7.76	7.88	0.12	18	471407744	620270464	709924352	722010176	622099392	822021760	769201728	633569408	700354944	14248475	402382	19096880	1018950	18356458	638601	657188	1468898	773387
