,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
49,"Fructose 1,6-bisphosphate","50         Fructose 1,6-bisphosphate",C6H14O12P2,[M-H]-,14.1,16.1,15.0,0.2,338.9888,338.9904,4.8,SQ567_Blank_4,15.96,15.96,15.96,0.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,10500.0,0,0,0,0,1000,0,NA,NA,10500.0,10500.0,0.0,1.0,10500.0,10500.0,0.0,0
50,Fructose 6-phosphate,51         Fructose 6-phosphate,C6H13O9P,[M-H]-,12.6,13.5,15.0,0.2,259.0224,259.021,-5.6,S10228,12.88,12.76,12.93,0.17,26920.0,14637.0,23729.0,17023.0,14569.5,14569.5,22757.0,18854.0,3132,0,3619,0,2388,0,0.4370006583165551,2.2883260722129593,20577.25,17687.5,0.21832004145653114,1.1633780918727916,14569.5,19132.375,0.0,6
51,Fumaric acid,52         Fumaric acid,C4H4O4,[M-H]-,12.2,14.2,15.0,0.2,115.0037,115.0024,-11.2,S10228,12.93,12.68,12.96,0.28,7397215.0,5528028.0,7005761.0,6111049.0,238358.0,397689.0,623804.0,481916.0,85613,11859,47687,15355,28383,13112,8.013980924795946e-06,124781.92915407548,6510513.25,435441.75,3.9022196369815365,14.951513606584578,111004.5,3472977.5,6479460.0,8
52,Glucose 6-phosphate,53         Glucose 6-phosphate,C6H13O9P,[M-H]-,13.6,14.4,15.0,0.2,259.0224,259.0216,-3.3,S10228,13.65,13.64,13.77,0.14,43586.0,20892.0,33791.0,30928.0,20107.0,19241.0,20272.0,22061.0,2868,0,8781,0,4718,0,0.04504887906357922,22.198110603122032,32299.25,20420.25,0.661500136541978,1.5817264724966638,18183.5,26359.75,1.0,8
53,Glutathione,54         Glutathione,C10H17N3O6S,[M+H]+,10.0,13.0,15.0,0.2,308.0911,308.0905,-1.9,S10235,11.26,11.09,11.51,0.42,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0,35650.0,2367,5578,12307,7580,15120,8348,NA,NA,35650.0,35650.0,0.0,1.0,35650.0,35650.0,0.0,0
54,Glycerol 3-phosphate,55         Glycerol 3-phosphate,C3H9O6P,[M-H]-,11.5,13.0,15.0,0.2,171.0064,171.0056,-4.7,S10228,11.9,11.73,12.11,0.38,180543.0,110626.0,145451.0,143252.0,56732.5,56732.5,59840.0,61038.0,77534,1201,8533,1126,5071,0,0.0009395828970124408,1064.302046343825,144968.0,58585.75,1.3071127761466443,2.4744583793840653,56732.5,101776.875,268.0,6
55,Glycine,56         Glycine,C2H5NO2,[M+H]+,10.7,12.7,15.0,0.2,76.0393,76.0399,7.8,S10230,11.8,11.56,11.87,0.31,22979668.0,21048244.0,23519990.0,21917264.0,1102614.0,2183883.0,2457128.0,2497179.0,1850955,18073,230777,20355,47131,17937,6.560416043111742e-08,15242935.713657562,22366291.5,2060201.0,3.4404690630247394,10.856363772272706,1102614.0,12213246.25,2021082859.0,7
56,Guanidoacetic acid,57         Guanidoacetic acid,C3H7N3O2,[M+H]+,10.7,12.7,15.0,0.2,118.0611,118.0612,0.8,S10230,11.87,11.62,11.93,0.31,20912458.0,18455360.0,21516784.0,19714150.0,654862.0,1788097.0,1900482.0,2005029.0,1160005,8584,85474,9374,17822,8465,2.7917732197164135e-07,3581952.835343765,20149688.0,1587117.5,3.666276654949379,12.695775832602186,654862.0,10868402.75,494247899.0,7
57,Guanine,58         Guanine,C5H5N5O,[M+H]+,7.7,9.7,15.0,0.2,152.0567,152.0544,-15.0,S10228,8.35,8.13,8.58,0.45,110568.0,40504.0,64064.0,45658.0,34649.0,78170.0,64728.0,34649.0,38815,3981,0,2385,1881,2236,0.553334613334276,1.8072247350915098,65198.5,53049.0,0.29751321735948144,1.2290241097852928,34649.0,59123.75,0.0,6
58,Guanosine,59         Guanosine,C10H13N5O5,[M+H]+,7.7,9.7,15.0,0.2,284.0989,284.0965,-8.6,SQ567_Blank_0,9.56,9.31,9.56,0.25,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5,26593.5,31896,1291,0,0,0,0,NA,NA,26593.5,26593.5,0.0,1.0,26593.5,26593.5,0.0,0
59,Guanosine diphosphate,60         Guanosine diphosphate,C10H15N5O11P2,[M-H]-,13.8,15.8,15.0,0.2,442.0171,442.0135,-8.1,S10234,14.8,14.8,14.81,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
60,Guanosine monophosphate,61         Guanosine monophosphate,C10H14N5O8P,[M+H]+,12.6,14.6,15.0,0.2,364.0653,364.0618,-9.6,SQ567_Blank_0,12.75,12.75,13.0,0.25,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5,14228.5,8457,0,0,0,0,0,NA,NA,14228.5,14228.5,0.0,1.0,14228.5,14228.5,0.0,0
