,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
61,62         Guanosine triphosphate,C10H16N5O14P3,[M-H]-,521.9834,-9.8,16.37,0.0,0,Guanosine triphosphate,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
62,63         Homocysteine,C4H9NO2S,[M-H]-,134.0281,-5.4,8.47,0.09,4,Homocysteine,131447,94934,124048,99257,-,-,-,-,2.7940361142543764e-05,3.490846064406909,24629.0,2.7940361142543764e-05,-3.490846064406909,24629.0
63,64         Hypotaurine,C2H7NO2S,[M+H]+,110.027,1.6,11.23,0.26,8,Hypotaurine,1677505,1543790,1937472,1895973,47490,121340,120376,142670,2.31143403739098e-06,4.029903862627986,6613571.0,2.31143403739098e-06,-4.029903862627986,6613571.0
64,65         Hypoxanthine,C5H4N4O,[M+H]+,137.0458,-2.1,7.0,0.33,8,Hypoxanthine,292521088,260497904,294261792,274557696,11670470,14285507,14762492,17059372,5.2344862963810024e-08,4.279204869065485,54694762616.0,5.2344862963810024e-08,-4.279204869065485,54694762616.0
65,66         Inosine,C10H12N4O5,[M+H]+,269.088,3.2,7.68,0.31,6,Inosine,238052,193936,234481,203028,-,14886,-,14597,1.6956060291493184e-06,3.974125446197462,1071458.0,1.6956060291493184e-06,-3.9741254461974616,1071458.0
66,67         Inosinic acid,C10H13N4O8P,[M+H]+,349.0544,0.0,0.0,0.0,0,Inosinic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
67,68         L-Acetylcarnitine,C9H17NO4,[M+H]+,204.123,-1.6,7.66,0.33,8,L-Acetylcarnitine,115497200,86557000,118936520,96674080,9607087,10107523,10718598,11543983,1.8710068736804973e-05,3.3146680272869284,30554053.0,1.8710068736804973e-05,-3.3146680272869284,30554053.0
68,69         L-Alanine,C3H7NO2,[M+H]+,90.055,3.8,11.05,0.24,8,L-Alanine,166562416,147670960,166316160,152463216,11527785,24690198,27270406,28413506,6.064954671113649e-07,2.7840680479051367,1029099390.0,6.064954671113649e-07,-2.7840680479051363,1029099390.0
69,70         L-Arginine,C6H14N4O2,[M+H]+,175.11900000000003,-1.4,20.27,0.25,2,L-Arginine,19104958,-,-,18164972,-,-,-,-,0.2446930827881697,0.029575176827406006,75.0,0.2446930827881697,-0.02957517682740593,75.0
70,71         L-Asparagine,C4H8N2O3,[M+H]+,133.0608,-1.3,11.52,0.25,8,L-Asparagine,4338355,3142275,4013066,3765274,90567,245121,309706,307966,8.81474462767574e-06,4.000492675760975,3679714.0,8.81474462767574e-06,-4.000492675760975,3679714.0
