,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
69,L-Arginine,C6H14N4O2,[M+H]+,175.11900000000003,-2.6,20.39,0.23,5,-,25134710,25447962,19686454,23864068,26398398,0.9641328357401828,0.008555136992049921,24.0,0.9641328357401828,-0.008555136992049898,24.0
70,L-Asparagine,C4H8N2O3,[M+H]+,133.0608,-2.0,11.68,0.19,6,1049311,977174,1281758,637489,663451,560943,0.007624769038438797,-0.8293027911648593,201.0,0.007624769038438797,0.8293027911648594,201.0
71,L-Aspartic acid,C4H7NO4,[M-H]-,132.0302,-10.1,12.04,0.15,6,30327814,35065012,36713228,31159864,32585218,32827854,0.4050407346528712,-0.0803775640311715,86.0,0.4050407346528712,0.08037756403117156,86.0
72,L-Carnitine,C7H16NO3,[Cat]+,162.1125,-3.5,9.85,0.13,6,1830220,2136454,2702769,3217380,3084554,3235466,0.02125611158889412,0.5160297458673873,182.0,0.02125611158889412,-0.516029745867387,182.0
73,L-Cystathionine,C7H14N2O4S,[M+H]+,223.0747,-3.2,13.54,0.1,6,791363,1068083,1232842,600827,798477,841267,0.12861502235466046,-0.4648082469680858,10.0,0.12861502235466046,0.4648082469680858,10.0
74,L-Cysteine,C3H7NO2S,[M+H]+,122.027,1.4,13.93,0.47,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
75,L-Cystine,C6H12N2O4S2,[M-H]-,239.0166,-4.5,12.87,0.2,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
76,L-Glutamic acid,C5H9NO4,[M+H]+,148.0604,-2.9,11.76,0.13,6,292281664,309193184,335917792,314105536,299959040,312207488,0.7965599840183083,-0.017217464312079774,395.0,0.7965599840183083,0.017217464312079805,395.0
77,L-Glutamine,C5H10N2O3,[M+H]+,147.0764,-3.5,11.52,0.13,6,729829632,811804736,798679552,636709120,647699136,678570880,0.011352474048669,-0.25365722106481925,75321.0,0.011352474048669,0.25365722106481936,75321.0
78,L-Histidine,C6H9N3O2,[M+H]+,156.0768,-2.9,11.09,0.33,6,43371636,52939892,57224160,37055480,33522778,41844588,0.04483700116747834,-0.44963879364420734,1350.0,0.04483700116747834,0.44963879364420734,1350.0
79,L-Isoleucine,C6H13NO2,[M+H]+,132.1019,-2.3,7.44,0.11,6,88320064,104060064,117711496,110128208,94138392,99042888,0.8274990665290354,-0.03190392885713977,126.0,0.8274990665290354,0.03190392885713966,126.0
80,L-Kynurenine,C10H12N2O3,[M+H]+,209.0921,-0.3,7.57,0.43,6,51740,55552,78493,31469,41696,56314,0.16421094948326534,-0.5209158970126194,0.0,0.16421094948326534,0.5209158970126195,0.0
